date,close,volume,open,high,low
2018/02/23,250.7400,1788876.0000,250.0000,252.0000,246.8900
2018/02/22,249.3500,2349450.0000,248.0900,249.4300,244.3550
2018/02/21,246.9200,2412659.0000,247.7200,252.9500,246.7500
2018/02/20,245.4300,2216619.0000,243.0700,248.0100,242.1400
2018/02/16,244.7200,2197885.0000,248.0000,248.7400,242.9000
2018/02/15,248.2000,5588248.0000,240.9900,248.2900,237.1300
2018/02/14,235.8900,7922485.0000,236.0400,239.8800,232.6880
2018/02/13,225.6000,4633884.0000,223.4100,227.7000,221.8000
2018/02/12,221.6400,3081793.0000,219.9900,223.2400,218.5402
2018/02/09,215.6700,4632536.0000,213.4600,218.4100,207.7400
2018/02/08,212.0700,4151485.0000,223.0100,225.7100,211.7000
2018/02/07,222.5000,2410358.0000,228.2600,229.6599,222.5000
2018/02/06,228.7700,5047874.0000,218.0000,230.0000,216.0000
2018/02/05,225.3200,3936116.0000,229.4200,235.6900,224.5800
2018/02/02,233.1700,3321965.0000,237.4900,238.4999,232.4300
2018/02/01,240.5300,2740974.0000,243.3300,248.2300,239.3700
2018/01/31,246.9200,3605961.0000,247.4800,248.1800,242.4000
2018/01/30,244.0700,4570575.0000,247.8700,249.3500,241.2000
2018/01/29,253.7300,3335056.0000,256.6600,256.9800,252.8000
2018/01/26,260.2500,2394341.0000,255.7600,260.4266,253.8000
2018/01/25,254.1400,2188333.0000,259.8300,260.0000,253.0300
2018/01/24,257.9600,2851371.0000,258.5800,263.4100,252.1000
2018/01/23,257.3500,2229640.0000,252.8900,257.5400,251.2600
2018/01/22,254.3400,2293313.0000,255.9900,256.4200,249.5000
2018/01/19,255.9800,1824216.0000,255.8700,258.3300,254.3600
2018/01/18,254.9600,2042168.0000,255.4900,256.1500,252.5530
2018/01/17,255.4900,2215546.0000,260.7500,260.8900,253.0800
2018/01/16,257.7800,4089801.0000,259.6900,265.7700,256.7800
2018/01/12,253.0400,3039427.0000,252.4900,256.9800,250.8700
2018/01/11,250.2200,1731018.0000,250.4000,251.4900,246.8900
2018/01/10,248.9500,2178347.0000,251.4900,253.7400,247.9000
2018/01/09,254.7300,2617194.0000,253.5400,254.9900,248.0500
2018/01/08,250.8200,2414646.0000,247.1400,253.8600,246.7500
2018/01/05,245.1400,2603087.0000,246.8400,248.0000,242.6000
2018/01/04,245.7300,1575387.0000,249.0000,249.2000,244.2800
2018/01/03,245.5500,1906018.0000,244.8600,246.2641,240.0901
2018/01/02,242.4000,2689315.0000,236.4900,242.8200,235.2600
2017/12/29,234.2100,1135993.0000,234.8300,236.1300,232.5000
2017/12/28,234.7400,1005434.0000,238.5700,239.0000,234.4000
2017/12/27,237.7100,928749.0000,237.5000,239.1400,235.6100
2017/12/26,237.8300,1290595.0000,237.2100,238.7700,235.3770
2017/12/22,239.0500,1169596.0000,237.7600,241.7900,237.4500
2017/12/21,239.4900,2046179.0000,234.4800,240.8300,234.0100
2017/12/20,233.3700,1747232.0000,236.0400,236.9500,231.2900
2017/12/19,235.6200,2721836.0000,241.5900,242.0000,235.1300
2017/12/18,240.9300,2070932.0000,235.8200,241.4900,234.9000
2017/12/15,233.4800,5009986.0000,233.0000,233.4800,229.3100
2017/12/14,231.8200,2860127.0000,233.0600,233.1500,227.8100
2017/12/13,233.2400,2218181.0000,234.8800,237.1700,231.8500
2017/12/12,232.7300,1911403.0000,231.5100,232.9499,229.9200
2017/12/11,233.5400,1994468.0000,235.5000,236.6300,233.1650
2017/12/08,234.5900,2151303.0000,236.9100,237.7400,234.4300
2017/12/07,233.0100,1788912.0000,231.1600,235.6590,231.0057
2017/12/06,231.1500,2107548.0000,228.3500,231.8900,227.2200
2017/12/05,231.7500,2874133.0000,226.0000,234.1000,225.5000
2017/12/04,229.6600,3325426.0000,237.7100,237.9115,226.3500
